# When publishing work using this dataset please cite the following reference:
# Brylinski M, Skolnick J. (2008) What is the relationship between the global 
# structures of apo and holo proteins? Proteins 70, 363-77.
#
# Format: #_of_domains(PDP) #_of_conformers PDB_codes

   2  11  1btoA 1ye3A 1hf3A 1heuB 1hetA 1mg0C 1n92B 1p1rD 3btoC 1ldeC 1ldyD
   1  11  1bviA 5gsp_ 3gsp_ 1gsp_ 1rga_ 2rnt_ 4bu4A 1i0vA 2bu4A 1i0xA 7gspA
   1   2  1bzcA 1bzhA
   2   4  1c0iA 1c0pA 1c0kA 1c0lA
   3   2  1c1hA 1c9eA
   1   7  1c21A 1yvmA 3matA 1c23A 1c24A 1c27A 1c22A
   1   5  1c29A 1c8vA 1c9dA 1cw2A 1cx9A
   2   3  1c2tA 1jkxA 1cde_
   1  10  1c3bA 1xgiB 1l2sB 1xgjB 1ke0B 1kdwB 1ke3B 1ga9A 1my8A 1kdsB
   1   2  1c3nA 1c3mA
   2   2  1c3vA 1p9lB
   1   3  1c5wB 1c5yB 1c5xB
   2   3  1c63A 1c65A 1c64A
   2   6  1c82A 1f9gA 2brpA 1w3yA 1ojmA 1ojpA
   1   2  1c9uA 1cq1B
   1   5  1cbq_ 2fr3A 3cbsA 2cbsA 1cbs_
   5   4  1cdg_ 1cxi_ 1cxh_ 1cxe_
   1   2  1cf0A 1cjfA
   2   2  1cfmA 1ewhB
   2   7  1cg0A 1hopB 1honA 1hooA 1gim_ 1nht_ 1juy_
   1   2  1cgkA 1cgzA
   2   6  1cjcA 1e6eA 1e1lA 1e1nA 1e1kA 1e1mA
   1  34  1cjrB 1u1bB 1o0mA 1w4qB 1o0oA 1o0nA 1rob_ 1w4pB 1z6dA 1o0fB 1rnd_ 1rca_ 1rnc_ 1z6sA 7rsa_ 1w4oA 1o0hB 1d5eB 1rbe_ 1z3lE 1j80B 1z3mE 1d5dB 1fevB 1rbd_ 1j81B 1rbi_ 1z3pE 1rbc_ 1rbh_ 1rbg_ 1j82B 1rbf_ 1j7zB
   1   2  1ckaA 1ckbA
   3   2  1ckmA 1cknA
   2   7  1cm1A 2f3zA 1iq5A 2f3yA 1yr5A 1qiwB 1wrzA
   1   2  1co6A 1io3A
   1   3  1cpq_ 1rcpA 1nbbB
